ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT ( lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Speed ( m/s);LOCATION Accuracy ( m);Temperature ( °C);Level (%);Voltage (Volt);Time since start in ms ; 
-5.2211; 7.0153; 3.3511; -0.0608; -0.1748; -0.0213; 4.1432; 39.25; -27.56; -12.36; 321.99; -49.57; 59.54; 60.855; 59.937252; 10.532029; 241.9; 1.56375; 15.0; 23.0; 56.0; 3.706; 3; 
-5.1123; 6.9484; 3.7916; -0.0608; -0.1748; -0.0213; 4.1432; 38.95; -27.06; -15.41; 321.99; -49.57; 59.54; 57.03; 59.937252; 10.532029; 241.9; 1.56375; 15.0; 23.0; 56.0; 3.706; 115; 
-5.1123; 6.9484; 3.7916; -0.1215; -0.2547; 0.0203; 4.1432; 38.95; -27.06; -15.41; 321.99; -49.57; 59.54; 57.03; 59.937252; 10.532029; 241.9; 1.56375; 15.0; 23.0; 56.0; 3.706; 215; 
-5.0694; 6.9686; 4.0263; -0.1215; -0.2547; 0.0203; 4.1432; 38.95; -27.06; -15.41; 321.99; -49.57; 59.54; 57.03; 59.937252; 10.532029; 241.9; 1.56375; 15.0; 23.0; 56.0; 3.706; 315; 
-5.0694; 6.9686; 4.0263; 0.5265; 0.9646; 0.2068; 4.1432; 38.75; -27.96; -14.7; 312.81; -47.59; 52.84; 61.89; 59.937252; 10.532029; 241.9; 1.56375; 15.0; 23.0; 56.0; 3.706; 433; 
-5.2047; 7.2178; 3.979; 0.5265; 0.9646; 0.2068; 4.1432; 38.75; -27.96; -14.7; 312.81; -47.59; 52.84; 61.89; 59.937252; 10.532029; 241.9; 1.56375; 15.0; 23.0; 56.0; 3.706; 533; 
-5.2047; 7.2178; 3.979; -0.0352; 0.0501; 0.0469; 4.1432; 38.75; -27.96; -14.7; 312.81; -47.59; 52.84; 61.89; 59.937252; 10.532029; 241.9; 1.56375; 15.0; 23.0; 56.0; 3.706; 633; 
-4.9915; 7.2618; 3.0028; -0.0352; 0.0501; 0.0469; 6.3186; 38.95; -29.77; -9.21; 312.81; -47.59; 52.84; 61.89; 59.937252; 10.532029; 241.9; 1.56375; 15.0; 23.0; 56.0; 3.706; 739; 
-4.9915; 7.2618; 3.0028; -0.0554; -0.2686; -0.1151; 6.3186; 38.95; -29.77; -9.21; 312.81; -47.59; 52.84; 69.765; 59.937252; 10.532029; 241.9; 1.56375; 15.0; 23.0; 56.0; 3.706; 839; 
-5.2202; 7.2807; 3.0757; -0.0554; -0.2686; -0.1151; 6.3186; 38.85; -29.36; -11.55; 324.58; -51.5; 59.76; 69.765; 59.937252; 10.532029; 241.9; 1.56375; 15.0; 23.0; 56.0; 3.706; 959; 
